Action,Object Type,Object Name,Event Display Name,Object Description,Event Category,Tags,Event Activity,Event Hidden From Dropdowns,Event Hidden From Persona Results,Event Hidden From Pathfinder,Event Hidden From Timeline,Event Source,Property Type,Property Group Names,Event Property Name,Property Description,Property Value Type,Property Required,Property Visibility,Property Is Array,Enum Values,Property Regex,Const Value,String Property Value Min Length,String Property Value Max Length,Number Property Value Min,Number Property Value Max,Array Min Items,Array Max Items
,Property Group,Common-Properties,,Propriedades comuns a todos os eventos,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,action,Property action,string,FALSE,,,,,,,,,,,
,,,,,,,,,,,,,,,album_name,Property album_name,string,FALSE,,,,,,,,,,,
,,,,,,,,,,,,,,,album_year,Property album_year,number,FALSE,,,,,,,,,,,
,,,,,,,,,,,,,,,component_name,Property component_name,string,FALSE,,,,,,,,,,,
,,,,,,,,,,,,,,,context,Property context,string,FALSE,,,,,,,,,,,
,,,,,,,,,,,,,,,cta_id,Property cta_id,string,FALSE,,,,,,,,,,,
,,,,,,,,,,,,,,,cta_text,Property cta_text,string,FALSE,,,,,,,,,,,
,,,,,,,,,,,,,,,destination,Property destination,string,FALSE,,,,,,,,,,,
,,,,,,,,,,,,,,,error_message,Property error_message,string,FALSE,,,,,,,,,,,
,,,,,,,,,,,,,,,error_type,Property error_type,string,FALSE,,,,,,,,,,,
,,,,,,,,,,,,,,,field_name,Property field_name,string,FALSE,,,,,,,,,,,
,,,,,,,,,,,,,,,form_id,Property form_id,string,FALSE,,,,,,,,,,,
,,,,,,,,,,,,,,,form_step,Property form_step,number,FALSE,,,,,,,,,,,
,,,,,,,,,,,,,,,href,Property href,string,FALSE,,,,,,,,,,,
,,,,,,,,,,,,,,,link_text,Property link_text,string,FALSE,,,,,,,,,,,
,,,,,,,,,,,,,,,location,Property location,string,FALSE,,,,,,,,,,,
,,,,,,,,,,,,,,,message_camel_case,Property message_camel_case,string,FALSE,,,,,,,,,,,
,,,,,,,,,,,,,,,page_name,Property page_name,string,FALSE,,,,,,,,,,,
