Event Name,Property Name,Property Type,Is Required,Description
page_viewed,page_name,string,true,Property 'page_name' for event 'page_viewed'
page_viewed,route,string,false,Property 'route' for event 'page_viewed'
page_viewed,referrer,string,false,Property 'referrer' for event 'page_viewed'
section_viewed,page_name,string,true,Property 'page_name' for event 'section_viewed'
section_viewed,section_id,string,true,Property 'section_id' for event 'section_viewed'
section_viewed,section_name,string,true,Property 'section_name' for event 'section_viewed'
section_viewed,position,string,false,Property 'position' for event 'section_viewed'
form_section_viewed,page_name,string,true,Property 'page_name' for event 'form_section_viewed'
form_section_viewed,section_id,string,true,Property 'section_id' for event 'form_section_viewed'
form_section_viewed,section_name,string,true,Property 'section_name' for event 'form_section_viewed'
form_section_viewed,position,string,false,Property 'position' for event 'form_section_viewed'
form_section_viewed,message_camel_case,string,false,Property 'message_camel_case' for event 'form_section_viewed'
navigation_link_clicked,page_name,string,true,Property 'page_name' for event 'navigation_link_clicked'
navigation_link_clicked,link_text,string,true,Property 'link_text' for event 'navigation_link_clicked'
navigation_link_clicked,href,string,true,Property 'href' for event 'navigation_link_clicked'
navigation_link_clicked,location,string,false,Property 'location' for event 'navigation_link_clicked'
navigation_menu_toggled,action,string,true,Property 'action' for event 'navigation_menu_toggled'
navigation_menu_toggled,location,string,false,Property 'location' for event 'navigation_menu_toggled'
cta_clicked,page_name,string,true,Property 'page_name' for event 'cta_clicked'
cta_clicked,cta_id,string,true,Property 'cta_id' for event 'cta_clicked'
cta_clicked,cta_text,string,false,Property 'cta_text' for event 'cta_clicked'
cta_clicked,destination,string,false,Property 'destination' for event 'cta_clicked'
cta_clicked,section_id,string,false,Property 'section_id' for event 'cta_clicked'
cta_clicked,section_name,string,false,Property 'section_name' for event 'cta_clicked'
cta_clicked,position,string,false,Property 'position' for event 'cta_clicked'
cta_clicked,component_name,string,false,Property 'component_name' for event 'cta_clicked'
form_started,page_name,string,true,Property 'page_name' for event 'form_started'
form_started,form_id,string,true,Property 'form_id' for event 'form_started'
form_started,form_step,number,false,Property 'form_step' for event 'form_started'
form_submitted,page_name,string,true,Property 'page_name' for event 'form_submitted'
form_submitted,form_id,string,true,Property 'form_id' for event 'form_submitted'
form_submitted,form_step,number,false,Property 'form_step' for event 'form_submitted'
form_submitted,status,string,false,Property 'status' for event 'form_submitted'
form_success,page_name,string,true,Property 'page_name' for event 'form_success'
form_success,form_id,string,true,Property 'form_id' for event 'form_success'
form_success,status,string,false,Property 'status' for event 'form_success'
form_success,form_step,number,false,Property 'form_step' for event 'form_success'
form_error,page_name,string,true,Property 'page_name' for event 'form_error'
form_error,form_id,string,true,Property 'form_id' for event 'form_error'
form_error,error_type,string,true,Property 'error_type' for event 'form_error'
form_error,field_name,string,false,Property 'field_name' for event 'form_error'
form_error,form_step,number,false,Property 'form_step' for event 'form_error'
gallery_viewed,page_name,string,true,Property 'page_name' for event 'gallery_viewed'
gallery_viewed,route,string,false,Property 'route' for event 'gallery_viewed'
gallery_album_clicked,page_name,string,true,Property 'page_name' for event 'gallery_album_clicked'
gallery_album_clicked,album_year,number,false,Property 'album_year' for event 'gallery_album_clicked'
gallery_album_clicked,album_name,string,false,Property 'album_name' for event 'gallery_album_clicked'
external_link_clicked,page_name,string,false,Property 'page_name' for event 'external_link_clicked'
external_link_clicked,link_text,string,false,Property 'link_text' for event 'external_link_clicked'
external_link_clicked,url,string,false,Property 'url' for event 'external_link_clicked'
external_link_clicked,platform,string,false,Property 'platform' for event 'external_link_clicked'
error_occurred,error_type,string,true,Property 'error_type' for event 'error_occurred'
error_occurred,error_message,string,false,Property 'error_message' for event 'error_occurred'
error_occurred,context,string,false,Property 'context' for event 'error_occurred'
error_occurred,page_name,string,false,Property 'page_name' for event 'error_occurred'
